"subjID","hr","fa","hrTarget","faLure","dprime","dprimeEX","VVIQ","VVIQ_group","hrdiff","fadiff","ddiff"
1,0.625,0.078125,0.625,0,1.73643650196064,Inf,2.875,"mid",-0.0416666666666661,0.104166666666666,-0.555892192934979
2,0.697916666666667,0.171875,0.697916666666667,0.03125,1.4651997447403,2.3811498558609,3.6875,"mid",0.145833333333333,0.041666666666666,0.305159696494502
3,0.25,0.135416666666667,0.25,0.0416666666666667,0.426655758177772,1.05717464592616,2.8125,"mid",-0.125,-0.083333333333333,-0.121518199071664
4,0.833333333333333,0.25,0.833333333333333,0.0208333333333333,1.64191131629778,3.00425569780309,4.375,"high",0,0.041666666666667,-0.104633455614076
5,0.520833333333333,0.145833333333333,0.520833333333333,0.0104166666666667,1.10671763214599,2.36323651863336,4.0625,"high",0.125,-0.020833333333334,0.376834177350237
7,0.572916666666667,0.104166666666667,0.572916666666667,0,1.44196626390083,Inf,2.5,"mid",-0.020833333333333,-0.083333333333333,0.239814106267865
8,0.604166666666667,0.109375,0.604166666666667,0,1.49400573604251,Inf,3.75,"mid",0.166666666666667,-0.104166666666666,0.793658186654096
9,0.4375,0.09375,0.4375,0,1.16070021269337,Inf,3.5625,"mid",0.041666666666666,0,0.105794938633847
11,0.5625,0.109375,0.5625,0,1.38716944382676,Inf,3.6875,"mid",-0.0416666666666661,0.104166666666666,-0.462921894549214
12,0.416666666666667,0.223958333333333,0.416666666666667,0.1875,0.548464438613854,0.676718164770951,4.5625,"high",0,0.104166666666667,-0.323441390385245
13,0.916666666666667,0.317708333333333,0.916666666666667,0.0104166666666667,1.85711086038731,3.69398546535806,4.125,"high",0.041666666666667,0.0416666666666661,0.166010549917653
14,0.885416666666667,0.296875,0.885416666666667,0.0520833333333333,1.73591796916673,2.82748898453865,3.875,"mid",0.0625,0.25,-0.312634018212796
15,0.854166666666667,0.109375,0.854166666666667,0.03125,2.28433121098664,2.9172043191917,4.1875,"high",0,0.208333333333334,-0.834471844402542
16,0.34375,0.119791666666667,0.34375,0.0208333333333333,0.773778820522755,1.63458406637966,3.25,"mid",0.145833333333334,0.104166666666666,0.0427392600230436
17,0.5,0.21875,0.5,0.0833333333333333,0.776421761147928,1.38299412710064,4.3125,"high",-0.083333333333334,0.083333333333333,-0.433896345516897
18,0.447916666666667,0.130208333333333,0.447916666666667,0.0416666666666667,0.994480208226955,1.60073774718558,2.875,"mid",0.104166666666667,0.020833333333334,0.193523219187526
19,0.822916666666667,0.166666666666667,0.822916666666667,0.0625,1.89395916535673,2.46065814360758,3.3125,"mid",-0.0625,-0.125,0.139235851934315
20,0.635416666666667,0.0208333333333333,0.635416666666667,0,2.38306839530127,Inf,3.25,"mid",0.0625,-0.0416666666666667,0.669293909818377
21,0.53125,0.15625,0.53125,0.0520833333333333,1.08840258198269,1.70339313434631,4.1875,"high",-0.1875,0.020833333333333,-0.540145188584294
22,0.322916666666667,0.0833333333333333,0.322916666666667,0.0104166666666667,0.923435878566756,1.85143308972354,4.4375,"high",0.020833333333333,0.020833333333334,-0.0290017738491438
23,0.604166666666667,0.0625,0.604166666666667,0,1.79826752117847,Inf,3.8125,"mid",-0.041666666666667,-0.125,0.538763015617219
24,0.40625,0.213541666666667,0.40625,0.145833333333333,0.556990460615455,0.817270342441265,4.125,"high",-0.104166666666666,0.020833333333334,-0.331234282071883
25,0.729166666666667,0.104166666666667,0.729166666666667,0,1.86845617124943,Inf,4.75,"high",0.041666666666667,0,0.125967467497984
26,0.927083333333333,0.0989583333333333,0.927083333333333,0.0208333333333333,2.74191737234553,3.49124173455743,5,"high",-0.0625,0.020833333333333,-0.553777842141971
27,0.760416666666667,0.046875,0.760416666666667,0,2.38358323152632,Inf,4.625,"high",-0.104166666666667,0.0208333333333337,-0.463456842358323
28,0.770833333333333,0.1875,0.770833333333333,0.0104166666666667,1.62874060288039,3.05258538211893,4.75,"high",0.083333333333333,0.1875,-0.228809205739715
29,0.78125,0.229166666666667,0.78125,0.145833333333333,1.51801580500944,1.83089421291798,3.125,"mid",-0.0208333333333339,0.083333333333334,-0.30682295762701
30,0.458333333333333,0.0833333333333333,0.458333333333333,0.0416666666666667,1.27836067148656,1.62703094050817,4.25,"high",0.166666666666667,0,0.423272819578451
31,0.677083333333333,0.119791666666667,0.677083333333333,0,1.63558713437836,Inf,3.75,"mid",-0.0625,0.104166666666667,-0.513051148821154
32,0.4375,0.21875,0.4375,0.0729166666666667,0.619111076537757,1.29709691824587,4.5625,"high",-0.041666666666666,-0.0625,0.0607853838356865
33,0.541666666666667,0.125,0.541666666666667,0.0729166666666667,1.25498283599008,1.55904105847012,2.8125,"mid",-0.125,-0.0625,-0.0741375069317234
41,0.541666666666667,0.265625,0.541666666666667,0.0416666666666667,0.730732467960497,1.83629785173632,3.375,"mid",0.083333333333333,-0.0625000000000001,0.36730703023794
42,0.541666666666667,0.182291666666667,0.541666666666667,0.0729166666666667,1.0112996730068,1.55904105847012,4.25,"high",-0.083333333333333,-0.083333333333333,0.0333340566526993
43,0.458333333333333,0.0572916666666667,0.458333333333333,0,1.47328940101871,Inf,3.3125,"mid",0.041666666666667,0.0624999999999997,-0.223456171096353
44,0.875,0.114583333333333,0.875,0,2.35285764330146,Inf,3.3125,"mid",-0.0416666666666661,-0.041666666666667,-0.0659610579892083
45,0.6875,0.09375,0.6875,0,1.80678730841821,Inf,3.1875,"mid",0.0833333333333339,-0.041666666666666,0.391402964590396
46,0.645833333333333,0.166666666666667,0.645833333333333,0.0104166666666667,1.34151697629943,2.68508674845514,4.25,"high",0.083333333333333,0.020833333333333,0.166580322469534
47,0.645833333333333,0.166666666666667,0.645833333333333,0.0208333333333333,1.34151697629943,2.41092954189911,3.6875,"mid",0.083333333333333,0.041666666666666,0.106834450886107
48,0.427083333333333,0.125,0.427083333333333,0,0.96654467753827,Inf,1,"low",0.0625,0.125,-0.238856626692358
49,0.75,0.140625,0.75,0,1.75200531723636,Inf,3.4375,"mid",0.0416666666666661,-0.0625,0.317012772756594
50,0.385416666666667,0.0989583333333333,0.385416666666667,0,0.996224736486084,Inf,4.1875,"high",0.020833333333333,0.104166666666667,-0.325490314435522
51,0.5625,0.307291666666667,0.5625,0.104166666666667,0.660852578920673,1.41547224567327,4.75,"high",0.208333333333334,-0.020833333333333,0.587605935285474
52,0.479166666666667,0.114583333333333,0.479166666666667,0.0416666666666667,1.15026308254951,1.6794192157463,3.9375,"mid",0.25,0.041666666666666,0.483038622421861
53,0.84375,0.145833333333333,0.84375,0,2.06446262101963,Inf,4.375,"high",0.0208333333333339,-0.041666666666667,0.208569084740019
54,0.708333333333333,0.104166666666667,0.708333333333333,0,1.80668384376119,Inf,3.5,"mid",0,0.041666666666667,-0.145552515157361
55,0.729166666666667,0.239583333333333,0.729166666666667,0.0104166666666667,1.31793811893921,2.92128594844375,4.75,"high",0,0.0625,-0.157310684610171
56,0.791666666666667,0.244791666666667,0.791666666666667,0.0208333333333333,1.50318948946243,2.8490519332013,3.5,"mid",0.166666666666667,0.104166666666666,0.339153523054047
57,0.333333333333333,0.0677083333333333,0.333333333333333,0.0208333333333333,1.06235109771744,1.60610683240593,3.3125,"mid",0.083333333333333,-0.020833333333333,0.337695099420809
58,0.75,0.166666666666667,0.75,0,1.64191131629778,Inf,4.125,"high",0.166666666666666,0.166666666666667,0.0726329108580837
59,0.135416666666667,0.0677083333333333,0.135416666666667,0.0104166666666667,0.391932888639043,1.20984582988356,4.3125,"high",-0.020833333333333,0,-0.0958769286059533
60,0.625,0.208333333333333,0.625,0.0416666666666667,1.13085716546429,2.05030376008662,4.25,"high",0.0416666666666661,-0.083333333333334,0.330247338419333
61,0.447916666666667,0.213541666666667,0.447916666666667,0.114583333333333,0.663265921007575,1.07158161398878,4.125,"high",-0.270833333333333,-0.083333333333334,-0.463005605373982
62,0.614583333333333,0.15625,0.614583333333333,0.0208333333333333,1.30127520225298,2.32811916470479,3.1875,"mid",0.020833333333333,0,0.0544923871384508
63,0.541666666666667,0.145833333333333,0.541666666666667,0,1.15910590738413,Inf,3.75,"mid",0.166666666666667,0.083333333333333,0.179510368677828
64,0.708333333333333,0.177083333333333,0.708333333333333,0.0104166666666667,1.47505988195313,2.85951362095552,1,"low",-0.166666666666667,-0.104166666666666,-0.209203131663366
